"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time" "nmodel.means" "nmodel.sds" "nmodel.Zscores"
"254" "SRR3681515" "SRR3681514" 0.807024935783639 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.999141719147728 0.00243857358746194 -78.782442470413
"255" "SRR3681516" "SRR3681514" 0.834052176722312 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.999374150586808 0.00222581084938164 -74.2749429541264
"256" "SRR3681517" "SRR3681514" 0.806029377861605 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "2" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.99939825527211 0.00213631610585802 -90.5151053630434
"266" "SRR3681530" "SRR3681514" 0.744351263019118 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.999284400619612 0.00171833576979887 -148.360490470576
"267" "SRR3681531" "SRR3681514" 0.713477002064214 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.999282519556729 0.00183769153381867 -155.524206447543
"268" "SRR3681532" "SRR3681514" 0.817290269446274 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.999184725457137 0.00202551375627208 -89.8016394347459
"269" "SRR3681533" "SRR3681514" 0.751770721393859 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.999423398524992 0.00183971625281372 -134.614605242719
"270" "SRR3681534" "SRR3681514" 0.765013451905872 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.999482281203697 0.00213204749181184 -109.973548993775
"290" "SRR3681525" "SRR3681515" 0.596775320099668 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998048985571532 0.00263187565722236 -152.466802286306
"293" "SRR3681530" "SRR3681515" 0.613701350328707 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.996554594418306 0.00270934799652242 -141.308257403999
"294" "SRR3681531" "SRR3681515" 0.513931067096256 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.996704859984002 0.00269280358698639 -179.282958185612
"295" "SRR3681532" "SRR3681515" 0.571513985493181 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.996614775186164 0.00274460619020061 -154.885896275673
"296" "SRR3681533" "SRR3681515" 0.478587867389392 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997428402638289 0.00262679070424231 -197.518795239743
"297" "SRR3681534" "SRR3681515" 0.47963746214192 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997890279016551 0.0026044659944872 -198.986209830192
"317" "SRR3681525" "SRR3681516" 0.619383269114477 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998360422813267 0.00263127516404603 -144.027944654807
"320" "SRR3681530" "SRR3681516" 0.690800484987291 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997136405375995 0.00269087099539566 -113.842663179645
"321" "SRR3681531" "SRR3681516" 0.582322407275967 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997413901633449 0.0026530082698669 -156.46068618486
"322" "SRR3681532" "SRR3681516" 0.611960173098199 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.9972218199382 0.00267031368049962 -144.275801623395
"323" "SRR3681533" "SRR3681516" 0.47256365338428 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997728627993937 0.00261870188934349 -200.544008749815
"324" "SRR3681534" "SRR3681516" 0.435480635869727 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998321803017533 0.00247253001438746 -227.637749136583
