"Observed" "Shannon" "Simpson" "Hill_Simpson" "Study" "Environment" "Environment_Sub" "Extraction_Kit" "DNA_Fragment" "Time_since_dist" "Disturbance" "Experimental_Unit_ID" "Selective_Factor" "Legacy" "Keep" "StudyxDisturbance" "repID" "Time_series" "Time_series_Time" "sample_sums" "Design" "Rank"
"SRR3681532" 334 4.60897473987786 0.970998222222222 34.4806448646826 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 86843 "Repeated" 3
"SRR3681533" 243 3.99088022448099 0.949519111111111 19.8094768537268 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 77787 "Repeated" 3
"SRR3681534" 160 3.30761994440179 0.903265777777778 10.3376031463069 "Datta" "Aquatic" "Chitin_Beads" "MasterPure" "515F_806R" 1 "Chitin_Recolonization" "3" "Nutrient" NA TRUE "Datta.Chitin_Recolonization" "Datta.Chitin_Recolonization.1.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads" "Datta.Chitin_Recolonization.Chitin_Beads.1" 63444 "Repeated" 3
"ETEC10.fwd" 81 2.89149260865433 0.886415111111111 8.80398801092477 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 180 "E.Coli_Azithromycin" "4" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.180.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 118387 "Repeated" 6
"ETEC11.fwd" 92 2.888156080376 0.879520888888889 8.30019404009178 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 180 "E.Coli_Azithromycin" "4" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.180.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 107103 "Repeated" 6
"ETEC12.fwd" 98 3.16149053919401 0.889432 9.04420808913972 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 0 "E.Coli_Azithromycin" "5" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.0.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 141414 "Repeated" 1
"ETEC13.fwd" 76 2.71548921391835 0.857551111111111 7.02006177654363 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 1 "E.Coli_Azithromycin" "5" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.1.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 99536 "Repeated" 2
"ETEC14.fwd" 81 3.32193574859809 0.933962666666667 15.1429494427395 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 7 "E.Coli_Azithromycin" "5" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.7.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 82856 "Repeated" 3
"ETEC15.fwd" 37 1.2852534152946 0.518296 2.07596366233205 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 0 "E.Coli_Azithromycin" "6" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.0.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 225726 "Repeated" 1
"ETEC16.fwd" 13 1.08860295013684 0.588037333333333 2.42740442499644 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 1 "E.Coli_Azithromycin" "6" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.1.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 89113 "Repeated" 2
"ETEC17.fwd" 26 2.09189740274615 0.834631111111111 6.04708664803268 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 7 "E.Coli_Azithromycin" "6" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.7.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 131685 "Repeated" 3
"ETEC18.fwd" 43 2.39352899516555 0.847781333333333 6.56949651378718 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 30 "E.Coli_Azithromycin" "6" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.30.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.30" 80904 "Repeated" 4
"ETEC19.fwd" 40 2.45855231066647 0.855864 6.93789199089749 "David" "Mammal" "Human_anal_Swab" "MOBIO_Powersoil" "515F_806R" 90 "E.Coli_Azithromycin" "6" "Death" NA TRUE "David.E.Coli_Azithromycin" "David.E.Coli_Azithromycin.90.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab" "David.E.Coli_Azithromycin.Human_anal_Swab.90" 91584 "Repeated" 5
