"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"320" "SRR3681530" "SRR3681516" 0.68349915821378 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"321" "SRR3681531" "SRR3681516" 0.596079440439803 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"322" "SRR3681532" "SRR3681516" 0.633458256363419 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"323" "SRR3681533" "SRR3681516" 0.512910304001755 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"324" "SRR3681534" "SRR3681516" 0.481764130618477 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"344" "SRR3681525" "SRR3681517" 0.632551276898121 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"347" "SRR3681530" "SRR3681517" 0.688019892768458 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"348" "SRR3681531" "SRR3681517" 0.594452909678103 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"349" "SRR3681532" "SRR3681517" 0.628029525175948 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"350" "SRR3681533" "SRR3681517" 0.464059997589169 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 3 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
