"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "nmodel.Zscores" "nmodel.sds" "nmodel.means" "Rank" "Rank." "Time" "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time"
"266" "SRR3681530" "SRR3681514" 0.738859463115376 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -127.901093691372 0.00203436939742258 0.999057534017981 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"267" "SRR3681531" "SRR3681514" 0.70612629968991 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -124.458153463255 0.00235414598385201 0.99911896182307 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"268" "SRR3681532" "SRR3681514" 0.821525521298279 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -76.8491975356417 0.00230982316072279 0.999033577649065 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"269" "SRR3681533" "SRR3681514" 0.738852208368002 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -114.193333129181 0.00227958916255392 0.999166093005193 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"270" "SRR3681534" "SRR3681514" 0.77287981040487 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -76.7682668564948 0.00294835990154842 0.999220290115928 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"290" "SRR3681525" "SRR3681515" 0.601851346313503 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -133.752258192462 0.00295974308481577 0.997723667577135 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"293" "SRR3681530" "SRR3681515" 0.62317645634491 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -118.620257300261 0.00314177507404267 0.995854624007397 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"294" "SRR3681531" "SRR3681515" 0.540901539893548 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -140.085254935944 0.00324978012330066 0.996147816951883 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"295" "SRR3681532" "SRR3681515" 0.627665704904917 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -116.869052045493 0.00315309861031401 0.996165350498276 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"296" "SRR3681533" "SRR3681515" 0.497257666688412 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 1 -169.676206672922 0.00294390723166824 0.996768678554862 3 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
