"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "nmodel.Zscores" "nmodel.sds" "nmodel.means" "Rank" "Rank." "Time" "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time"
"145" "SRR3681514" "SRR3681510" 0.672812480970037 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -146.873548764934 0.00222213823560286 0.999185809479277 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"155" "SRR3681525" "SRR3681510" 0.720449460432899 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -90.4112614941405 0.00306625591764477 0.997673526011036 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "1" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"157" "SRR3681529" "SRR3681510" 0.66399550169868 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 0 -1 -109.426422290213 0.00303835042616524 0.996471318497886 2 1 0 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.0"
"158" "SRR3681530" "SRR3681510" 0.670003047203101 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -108.776581988805 0.00299969038734034 0.996299114562659 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"159" "SRR3681531" "SRR3681510" 0.725226547206525 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -93.10253947709 0.00291582029202845 0.996696821053204 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"160" "SRR3681532" "SRR3681510" 0.778412956116525 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -70.5170605517415 0.00309419432260719 0.996606444522671 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"161" "SRR3681533" "SRR3681510" 0.753848821490564 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -79.2839210874973 0.00306839004800444 0.99712281592221 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"162" "SRR3681534" "SRR3681510" 0.792649760323707 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 -75.3525402238017 0.00272344409162516 0.997868190785167 3 1 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1"
"183" "SRR3681528" "SRR3681511" 0.549307379740772 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 0 -161.64518996486 0.0027781224613625 0.998377512753357 1 2 0 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
"210" "SRR3681528" "SRR3681512" 0.706392838883188 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 -100.596274353311 0.00288762357028017 0.99687701178818 1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1"
