"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Time_series." "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time"
"158" "SRR3681530" "SRR3681510" 0.66410597293308 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"159" "SRR3681531" "SRR3681510" 0.712775030701176 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"160" "SRR3681532" "SRR3681510" 0.763120996579633 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"161" "SRR3681533" "SRR3681510" 0.74725412434128 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"162" "SRR3681534" "SRR3681510" 0.800501717236662 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1
"183" "SRR3681528" "SRR3681511" 0.544200332355805 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 0 1 2 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 0
"210" "SRR3681528" "SRR3681512" 0.70063564667997 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"237" "SRR3681528" "SRR3681513" 0.750298744369711 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"264" "SRR3681528" "SRR3681514" 0.628887997480607 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"291" "SRR3681528" "SRR3681515" 0.781686301501512 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"318" "SRR3681528" "SRR3681516" 0.802740995692907 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"345" "SRR3681528" "SRR3681517" 0.803410232953325 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"372" "SRR3681528" "SRR3681518" 0.813143060524615 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 1 4 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 2
"399" "SRR3681528" "SRR3681519" 0.804029779805413 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 1 4 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 2
"426" "SRR3681528" "SRR3681520" 0.803970981864964 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 1 4 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 2
"453" "SRR3681528" "SRR3681521" 0.800054861937794 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"480" "SRR3681528" "SRR3681522" 0.805149212553778 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"507" "SRR3681528" "SRR3681523" 0.829790984344385 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3
"534" "SRR3681528" "SRR3681525" 0.698513971776346 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Datta.Chitin_Recolonization.Chitin_Beads" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1
"365" "ETEC12.fwd" "ETEC10.fwd" 0.550640267718669 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "5" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"625" "ETEC15.fwd" "ETEC10.fwd" 0.833526381124851 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"1310" "ETEC21.fwd" "ETEC10.fwd" 0.884555639834501 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
"1821" "ETEC26.fwd" "ETEC10.fwd" 0.839632642135876 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "David.E.Coli_Azithromycin.Human_anal_Swab" "Mammal" "8" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180
