"col" "row" "value" "Study" "Time_series" "Time_since_dist" "Time_since_dist." "Rank" "Rank." "Disturbance" "Environment" "Experimental_unit" "Experimental_unit." "Selective_Factor" "Time_series_Time" "Time" "nmodel.means" "nmodel.sds" "nmodel.Zscores"
"160" "SRR3681532" "SRR3681510" 0.763120996579633 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997186419412785 0.00254299489181518 -92.0432139232798
"161" "SRR3681533" "SRR3681510" 0.74725412434128 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.997733875445646 0.00282120519323568 -88.7846625636922
"162" "SRR3681534" "SRR3681510" 0.800501717236662 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" 1 -1 3 1 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.1" 1 0.998345089076261 0.0024214596031828 -81.7041802306141
"183" "SRR3681528" "SRR3681511" 0.544200332355805 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 0 1 2 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 0 0.998465021420605 0.00275405005321293 -164.94423858958
"210" "SRR3681528" "SRR3681512" 0.70063564667997 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1 0.997225430208784 0.00277433819411701 -106.904696823817
"237" "SRR3681528" "SRR3681513" 0.750298744369711 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1 0.997451544268848 0.00253597858265922 -97.4585517358638
"264" "SRR3681528" "SRR3681514" 0.628887997480607 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1 0.999342661388813 0.00206445434082084 -179.444348360308
"291" "SRR3681528" "SRR3681515" 0.781686301501512 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1 0.997733240244712 0.00237958549474249 -90.7918371584208
"318" "SRR3681528" "SRR3681516" 0.802740995692907 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1 0.998033277394273 0.00268573987707702 -72.7145183970343
"345" "SRR3681528" "SRR3681517" 0.803410232953325 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1 0.998299535814782 0.00245909415865049 -79.2524768422895
"372" "SRR3681528" "SRR3681518" 0.813143060524615 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 1 4 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 2 0.998200432416953 0.00246867714725928 -74.9621602394579
"399" "SRR3681528" "SRR3681519" 0.804029779805413 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 1 4 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 2 0.998136366341147 0.00254832583764544 -76.1702383848535
"426" "SRR3681528" "SRR3681520" 0.803970981864964 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 2 1 4 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 2 0.998191446875762 0.00259820227368021 -74.7518647713656
"453" "SRR3681528" "SRR3681521" 0.800054861937794 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3 0.997784270471355 0.00282732123301587 -69.9352469130808
"480" "SRR3681528" "SRR3681522" 0.805149212553778 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3 0.997921749257738 0.00271166414731002 -71.0901226079901
"507" "SRR3681528" "SRR3681523" 0.829790984344385 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 3 1 5 "Chitin_Recolonization" "Aquatic" "3" "2" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 3 0.998067469732453 0.00257215318864992 -65.4224196795968
"534" "SRR3681528" "SRR3681525" 0.698513971776346 "Datta" "Datta.Chitin_Recolonization.Chitin_Beads" -1 1 1 3 "Chitin_Recolonization" "Aquatic" "3" "1" "Nutrient" "Datta.Chitin_Recolonization.Chitin_Beads.-1" 1 0.998521501638629 0.00254828448182566 -117.729214301596
"365" "ETEC12.fwd" "ETEC10.fwd" 0.550640267718669 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "5" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.999047960259781 0.00210034463858673 -213.492435623724
"625" "ETEC15.fwd" "ETEC10.fwd" 0.833526381124851 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.999314681571346 0.00224738932059459 -73.7692837316823
"1310" "ETEC21.fwd" "ETEC10.fwd" 0.884555639834501 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.999641313280163 0.00204000659911643 -56.4143633140735
"1821" "ETEC26.fwd" "ETEC10.fwd" 0.839632642135876 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "8" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.999091109681236 0.00233347500296484 -68.3351942243894
"2110" "ETEC29.fwd" "ETEC10.fwd" 0.874685565923285 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.999562563966173 0.00137623673633098 -90.7380211167793
"2710" "ETEC35.fwd" "ETEC10.fwd" 0.73139744120271 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.999309778997558 0.00161336986688053 -166.057606067021
"55" "ETEC12.fwd" "ETEC11.fwd" 0.566308350249065 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "5" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.998973446564653 0.00215605064586706 -200.674829761056
"581" "ETEC15.fwd" "ETEC11.fwd" 0.855280013521997 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "6" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.999339791259279 0.00162760162139235 -88.5104658559168
"6510" "ETEC21.fwd" "ETEC11.fwd" 0.916822563381029 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "7" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.999667346846822 0.00180329457667298 -45.9407933331883
"7010" "ETEC26.fwd" "ETEC11.fwd" 0.860616119241348 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "8" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.999184043011378 0.00204045374612602 -67.9103478984089
"731" "ETEC29.fwd" "ETEC11.fwd" 0.918557494172036 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "9" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.999507025568165 0.00157094889534631 -51.5290673273515
"791" "ETEC35.fwd" "ETEC11.fwd" 0.655643504984806 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 0 180 1 6 "E.Coli_Azithromycin" "Mammal" "10" "4" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.0" 180 0.999191978750573 0.00313429350178661 -109.60954153462
"111" "ETEC16.fwd" "ETEC12.fwd" 0.935263558018254 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 0 2 1 "E.Coli_Azithromycin" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1 0.99976468400995 0.00161507218854904 -39.9369925685132
"112" "ETEC17.fwd" "ETEC12.fwd" 0.908007502033058 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 7 0 3 1 "E.Coli_Azithromycin" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 7 0.999441202835862 0.00223580518552438 -40.8952002593014
"113" "ETEC18.fwd" "ETEC12.fwd" 0.817182796525353 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 30 0 4 1 "E.Coli_Azithromycin" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.30" 30 0.999408691251302 0.00183661888544487 -99.2181318454693
"1145" "ETEC19.fwd" "ETEC12.fwd" 0.780330567991164 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 90 0 5 1 "E.Coli_Azithromycin" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.90" 90 0.999214888064022 0.00263276968521885 -83.1384231221362
"1151" "ETEC1.fwd" "ETEC12.fwd" 0.587561469209604 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 0 6 1 "E.Coli_Azithromycin" "Mammal" "3" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.998988158734703 0.00255408235812549 -161.085913387325
"1161" "ETEC20.fwd" "ETEC12.fwd" 0.735712318189109 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 180 0 6 1 "E.Coli_Azithromycin" "Mammal" "6" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.180" 180 0.999416388215991 0.00162447682353912 -162.331691167111
"11810" "ETEC22.fwd" "ETEC12.fwd" 0.941043522848414 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 1 0 2 1 "E.Coli_Azithromycin" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.1" 1 0.999716262329408 0.0019724127940984 -29.7466836843418
"1197" "ETEC23.fwd" "ETEC12.fwd" 0.794156305620034 "David" "David.E.Coli_Azithromycin.Human_anal_Swab" 7 0 3 1 "E.Coli_Azithromycin" "Mammal" "7" "5" "Death" "David.E.Coli_Azithromycin.Human_anal_Swab.7" 7 0.999275109960463 0.00245203189998262 -83.6525839414579
